timestamp,level,logger,message,module,function,line,event_type,user_id,session_id,question_id
2026-05-09T03:51:44.465Z,INFO,equilibria.system,Logging system initialized,logging_config,setup_logging,177,SYSTEM_INIT,,,
2026-05-09T03:52:14.059Z,INFO,equilibria.system,Memulai Equilibria v1.0.0,main,lifespan,24,APP_STARTUP,,,
2026-05-09T03:52:14.060Z,INFO,equilibria.system,Membuat database engine baru,session,get_engine,42,DB_ENGINE_INIT,,,
2026-05-09T03:52:14.160Z,INFO,equilibria.system,Database engine berhasil dibuat,session,get_engine,65,DB_ENGINE_CREATED,,,
2026-05-09T03:52:14.384Z,INFO,equilibria.system,Koneksi database berhasil diinisialisasi,session,init_db,149,DB_CONNECTION_INIT_SUCCESS,,,
2026-05-09T03:52:14.384Z,INFO,equilibria.system,Proses startup aplikasi selesai,main,lifespan,36,APP_STARTUP_COMPLETE,,,
2026-05-09T03:52:15.124Z,INFO,equilibria.system,Membuat session factory baru,session,get_session_factory,77,DB_SESSION_FACTORY_INIT,,,
2026-05-09T03:52:15.124Z,INFO,equilibria.system,Session factory berhasil dibuat,session,get_session_factory,86,DB_SESSION_FACTORY_CREATED,,,
2026-05-09T03:52:15.125Z,INFO,equilibria.system,Get Current User Token: eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VyX2lkIjoiNTM3NTBjNGEtYTA0OC00MDM3LWI1NjMtMjcyZDVjOGIyNTY3IiwiZXhwIjoxNzc4MjU1MDYxfQ.mgy1BSF3ItKZLAjNknhEd_RoIa-g1U7x3xH-Y_YsUqs,dependencies,get_current_user,51,,,,
2026-05-09T03:52:15.138Z,ERROR,equilibria.system,Error session database: 401: Could not validate credentials,session,get_db,126,DB_SESSION_ERROR,,,
2026-05-09T03:52:15.140Z,INFO,equilibria.system,Get Current User Token: eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VyX2lkIjoiNTM3NTBjNGEtYTA0OC00MDM3LWI1NjMtMjcyZDVjOGIyNTY3IiwiZXhwIjoxNzc4MjU1MDYxfQ.mgy1BSF3ItKZLAjNknhEd_RoIa-g1U7x3xH-Y_YsUqs,dependencies,get_current_user,51,,,,
2026-05-09T03:52:15.141Z,ERROR,equilibria.system,Error session database: 401: Could not validate credentials,session,get_db,126,DB_SESSION_ERROR,,,
2026-05-09T03:52:15.345Z,INFO,equilibria.system,Get Current User Token: eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VyX2lkIjoiNTM3NTBjNGEtYTA0OC00MDM3LWI1NjMtMjcyZDVjOGIyNTY3IiwiZXhwIjoxNzc4MjU1MDYxfQ.mgy1BSF3ItKZLAjNknhEd_RoIa-g1U7x3xH-Y_YsUqs,dependencies,get_current_user,51,,,,
2026-05-09T03:52:15.345Z,ERROR,equilibria.system,Error session database: 401: Could not validate credentials,session,get_db,126,DB_SESSION_ERROR,,,
2026-05-09T03:52:15.347Z,INFO,equilibria.system,Get Current User Token: eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VyX2lkIjoiNTM3NTBjNGEtYTA0OC00MDM3LWI1NjMtMjcyZDVjOGIyNTY3IiwiZXhwIjoxNzc4MjU1MDYxfQ.mgy1BSF3ItKZLAjNknhEd_RoIa-g1U7x3xH-Y_YsUqs,dependencies,get_current_user,51,,,,
2026-05-09T03:52:15.348Z,ERROR,equilibria.system,Error session database: 401: Could not validate credentials,session,get_db,126,DB_SESSION_ERROR,,,
2026-05-09T03:52:15.350Z,INFO,equilibria.system,Get Current User Token: eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VyX2lkIjoiNTM3NTBjNGEtYTA0OC00MDM3LWI1NjMtMjcyZDVjOGIyNTY3IiwiZXhwIjoxNzc4MjU1MDYxfQ.mgy1BSF3ItKZLAjNknhEd_RoIa-g1U7x3xH-Y_YsUqs,dependencies,get_current_user,51,,,,
2026-05-09T03:52:15.350Z,ERROR,equilibria.system,Error session database: 401: Could not validate credentials,session,get_db,126,DB_SESSION_ERROR,,,
2026-05-09T03:52:15.355Z,INFO,equilibria.system,Get Current User Token: eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VyX2lkIjoiNTM3NTBjNGEtYTA0OC00MDM3LWI1NjMtMjcyZDVjOGIyNTY3IiwiZXhwIjoxNzc4MjU1MDYxfQ.mgy1BSF3ItKZLAjNknhEd_RoIa-g1U7x3xH-Y_YsUqs,dependencies,get_current_user,51,,,,
2026-05-09T03:52:15.355Z,ERROR,equilibria.system,Error session database: 401: Could not validate credentials,session,get_db,126,DB_SESSION_ERROR,,,
2026-05-09T03:52:15.445Z,INFO,equilibria.system,"Leaderboard fetched: limit=5, offset=0, total=11",leaderboard,get_leaderboard,124,LEADERBOARD_FETCH,None,,
2026-05-09T03:52:53.184Z,INFO,equilibria.system,User logged in successfully,auth,login_user,146,AUTH_LOGIN_SUCCESS,53750c4a-a048-4037-b563-272d5c8b2567,,
